x,y,z
0,3.3,3.3
0,3.3,91.65
3.3,3.3,91.65
0,0,180
0,62.2,3.3
0,62.2,91.65
3.3,62.2,180
3.3,117.8,91.65
3.3,117.8,180
3.3,176.7,91.65
3.3,180,180
58.9,0,180
58.9,58.9,180
62.2,62.2,91.65
62.2,62.2,3.3
58.9,121.1,180
62.2,117.8,180
58.9,180,180
117.8,0,180
117.8,0,91.65
117.8,62.2,180
117.8,62.2,91.65
121.1,58.9,91.65
117.8,62.2,3.3
117.8,121.1,180
117.8,117.8,91.65
117.8,117.8,3.3
117.8,176.7,91.65
121.1,180,180
180,0,180
180,0,180
176.7,62.2,180
176.7,62.2,91.65
176.7,58.9,91.65
176.7,117.8,180
176.7,117.8,91.65
176.7,176.7,91.65
180,180,180
