cam1_X,cam1_Y
123.821919,730.885756
201.968552,782.816845
201.605764,768.986946
251.110516,699.724147
349.264889,725.119113
443.013082,760.497093
455.838082,760.163372
NaN,NaN
NaN,NaN
658.345402,753.217480
873.025263,757.914875
715.837054,716.529131
125.684437,520.468236
447.330271,530.604254
459.204706,530.763831
660.848762,533.322193
672.514908,532.667709
874.117778,535.588445
128.880490,306.703215
NaN,NaN
212.039851,267.173905
261.323265,332.063523
344.152333,315.806010
451.201075,294.836062
271.281327,333.145782
355.554957,317.449839
462.596249,295.324906
536.510597,325.670013
663.581986,306.079476
675.416992,294.068414
NaN,NaN
876.885485,304.578125
147.278892,87.106500
218.289681,18.075854
348.703897,104.102632
349.019484,92.723381
454.305786,54.097176
539.903407,120.412211
666.100338,74.361173
NaN,NaN
880.536798,84.528893
